"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"JLS","Matthew","M","48","Jones","172.53832","paid","Janesville-Beloit, WI","392","Don't Go","36"
"Young Money featuring Lloyd","Matthew","M","49","Jones","196.33587","paid","Janesville-Beloit, WI","392","BedRock (Radio Edit) (feat.Lloyd)","36"
"Peter Tosh","Matthew","M","50","Jones","320.02567","paid","Janesville-Beloit, WI","392","Rock With Me","36"
"Nick Duffy","Matthew","M","51","Jones","235.49342","paid","Janesville-Beloit, WI","392","Motor Panir","36"
"Alanis Morissette","Matthew","M","52","Jones","175.82975","paid","Janesville-Beloit, WI","392","Right Through You (LP Version)","36"
"Muse","Matthew","M","54","Jones","209.50159","paid","Janesville-Beloit, WI","392","Supermassive Black Hole (Twilight Soundtrack Version)","36"
"Bon Iver","Matthew","M","55","Jones","242.93832","paid","Janesville-Beloit, WI","392","Brackett_ WI","36"
"Leftover Crack","Matthew","M","56","Jones","195.082","paid","Janesville-Beloit, WI","392","Burn Them Prisons","36"
"For Squirrels","Matthew","M","57","Jones","337.162","paid","Janesville-Beloit, WI","392","Mighty K.C.","36"
"Fobia","Matthew","M","58","Jones","290.40281","paid","Janesville-Beloit, WI","392","Tu Me Asustas","36"
"Indian Jewelry","Matthew","M","59","Jones","295.83628","paid","Janesville-Beloit, WI","392","Barbwire","36"
"M.O.P.","Matthew","M","60","Jones","232.6722","paid","Janesville-Beloit, WI","392","Ante Up (Robbin Hoodz Theory)","36"
"Eminem / Dr. Dre / 50 Cent","Matthew","M","61","Jones","297.482","paid","Janesville-Beloit, WI","392","Crack A Bottle","36"
"Shakira","Celeste","F","0","Williams","571.16689","free","Klamath Falls, OR","311","Estoy AquÃÂ­","53"
"Usher Featuring Lil' Jon & Ludacris","Matthew","M","62","Jones","250.38322","paid","Janesville-Beloit, WI","392","Yeah!","36"
"Rodrigo y Gabriela","Matthew","M","63","Jones","223.16363","paid","Janesville-Beloit, WI","392","Hanuman","36"
"Ramones","Matthew","M","64","Jones","149.4722","paid","Janesville-Beloit, WI","392","I Wanna Be Sedated (Remastered Album Version )","36"
"Mayday Parade","Matthew","M","65","Jones","316.9171","paid","Janesville-Beloit, WI","392","Miserable At Best (Album)","36"
"Eminem","Jayden","M","0","Graves","304.87465","paid","Marinette, WI-MI","297","Music Box","25"
"Cut Copy","Jayden","M","1","Graves","71.49669","paid","Marinette, WI-MI","297","Visions","25"
"Xandria","Theodore","M","0","Harris","216.81587","free","Red Bluff, CA","418","Calyx Virago","14"
"Missy Higgins","Jayden","M","2","Graves","274.80771","paid","Marinette, WI-MI","297","Drop The Mirror (EP Version)","25"
"Mobb Deep","Theodore","M","1","Harris","181.15873","free","Red Bluff, CA","418","Shook Ones pt. 2","14"
"Beatriz Luengo","Jayden","M","3","Graves","242.05016","paid","Marinette, WI-MI","297","Pretendo Hablarte","25"
"Evanescence","Jayden","M","4","Graves","237.11302","paid","Marinette, WI-MI","297","Bring Me To Life","25"
"OceanLab","Jayden","M","5","Graves","440.842","paid","Marinette, WI-MI","297","Clear Blue Water","25"
"Dwight Yoakam","Mohammad","M","0","Rodriguez","239.3073","free","Sacramento--Roseville--Arden-Arcade, CA","325","You're The One","88"
"The Devil Wears Prada","Mohammad","M","1","Rodriguez","205.66159","free","Sacramento--Roseville--Arden-Arcade, CA","325","Lord Xenu","88"
"Eva Cassidy","Jayden","M","6","Graves","248.86812","paid","Marinette, WI-MI","297","Take Me To The River","25"
"Mr. Oizo","Jayden","M","7","Graves","325.22404","paid","Marinette, WI-MI","297","Flat Beat","25"
"Mariah Carey","Jayden","M","8","Graves","261.642","paid","Marinette, WI-MI","297","Never Too Far","25"
"Kid Cudi Vs Crookers","Jayden","M","9","Graves","162.97751","paid","Marinette, WI-MI","297","Day 'N' Nite","25"
"Pat Martino","Jayden","M","10","Graves","355.94404","paid","Marinette, WI-MI","297","El Hombre","25"
"Jason Mraz","Jayden","M","11","Graves","218.40934","paid","Marinette, WI-MI","297","Geek In The Pink [Phil Tan Remix]","25"
"Dwight Yoakam","Jayden","M","12","Graves","239.3073","paid","Marinette, WI-MI","297","You're The One","25"
"Smokey Robinson & The Miracles","Jayden","M","13","Graves","168.9073","paid","Marinette, WI-MI","297","I Second That Emotion","25"
